Unnamed: 0,Owner,Pending days,Month,Feedback Date,Customer,End Customer,Region,Country,Key Account Status,Sales manager,Business Unit & Product,First Tier Category,Second Tier Category,Third Tier Category,Third Tier+ Category,Description,Repeat times,Filling Machine,Packaging Material,Production Date,Format,Defect Pic,Issues category,Reject category,Reject detailed reason,Department,DIC,Status,MMI status,Latest Status,History,Sample tracking NO.,Sample received date,Root cause,Actions on filling machine,Corrective action,Person in charge,Action Due Date,Converting Machine,OA CAPA Process Number,Issue Claim Paper Date,Close Claim Paper Date,Claim no,Claim Qty(pcs),Claim Qty(details),Internal CAPA Issue Date,Internal CAPA Receive Date,Internal response time,External CAPA Submit Date,Response time,Feedback lead time,CRM case number,To do list,Hyperlink,Defect Code,Is the detection system detectable?,Claim amount
0,celina,0,jan,2024-01-02,甘肃牧歌拉乳业,甘肃牧歌拉乳业,chn-中国区,china mainland,n,王建红,ks aseptic i,transportation_运输,transportation_运输_,transportation damge 运输破损,物流运输类,2.5卷运输破损,1,"not related with filling machine, so no filling machine type",050537: 32040040--整卷 32030039--整卷 32020038--半卷,2023-12-25 00:00:00,200s,unavailable,claim,unavailable,unavailable,logistic,logistic,close,unavailable,2024-01-24：货代直接赔付客户6587.5rmb，暂停中外运业务合作,2024/1/17 中外运来我司提供改进措施，改进措施未通过物流审核，暂时依然暂停中外运国内段运输,unavailable,unavailable,1.货物在运输过程中车辆出现故障，临时更换其他车辆，转导货物时叉车作业失误导致货物破损 2.货物在运输过程中车辆出现故障，临时更换其他车辆，转导货物时叉车作业失误导致货物破损； 3.现场没有对货物的完好情况进行仔细确认,unavailable,1.车辆路上出现故障，应及时通知我司按照客户急需情况，判断是否更换车辆或原地维修处理。/2.1：已申领物流公司更换新的运作团队到现场工作，加强现场管控力度；/2.2 装车前进行车况检查，做好车辆检查记录表。保留空车水印照片；/2.3 装车过程没装完第一排必须纸板防护，避免车辆行驶过程中突发急刹车导致货物前冲，导致货物跟车厢壁摩擦；,张娜/张娜/张娜/张娜,20240120/20240315/20240315/20240315,unavailable,20240617-0454,2024-02-02 00:00:00,2024-02-02 00:00:00,货代直接赔付客户,客户未做剥除直接请货代赔付 受影响数量2.5卷共42500pcs,unavailable,2024-01-09 00:00:00,2024-01-09 00:00:00,0.0,2024-01-09 00:00:00,5.0,8.0,unavailable,待质量通知及oa纠正措施,unavailable,unavailable,False,0.0
1,coco,0,jan,2024-01-02,宁夏北方,宁夏北方,chn-中国区,china mainland,n,王建红,ks auxiliary materials,raw_material_原材料,pp_strip_pp条,pp strip delamination pp条分层,物理指标类,pp条分层,1,"not related with filling machine, so no filling machine type",dy po013023,2023-06-24 00:00:00,dy strip,unavailable,unaccepted,normal phenomenon,撕拉测试pp条本身分层，符合业内标准。工程师已跟客户沟通此现象不会引起质量问题，现场做红染，扒皮都没有问题，继续使用。待测试wf条看会不会有改善，如有改善，后续改为wf条。,filling machine,filling machine,close,unavailable,无质量问题，客户同意继续使用。未更换光面条，客户无更多concern。3/26跟销售确认过后close 此case。,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-01-03 00:00:00,2024-01-06 00:00:00,2.0,2024-01-04 00:00:00,2.0,192.0,unavailable,unavailable,unavailable,unavailable,False,0.0
2,celina,0,jan,2024-01-05,infood,infood,cis-俄语区,russia,n,botova mariia,ks aseptic i,slitting_分切,appearance_分切外观,slitting foreign material 分切异物,物理指标类,栈板外层气泡袋外发现钉子及订书针 一共2个栈板，各剥除1690pcs 和1050pcs 每个栈板19000pcs,1,"not related with filling machine, so no filling machine type",047906(23)0007(37)019000; 047907(23)0010(37)019000,2023-10-29 00:00:00,2ls-plh,unavailable,unaccepted,customer's misunderstanding,"1. no staple/strip nail/iron wire used on this shipment and no abnormality wad found on packing and loading section. 2. the forwarder was booked by infood, please customer help to check with forwarder if any abnormality found",filling machine,filling machine,close,unavailable,2023/3/21 销售发了赔付数量和金额，一共2个栈板受影响。每个栈板出货数量是19000pcs，商务赔付客户 各剥除1690pcs 和1050pcs,"1：客诉钉子有3种：订书针，铁丝和排钉，均是从气泡袋外面钉入。我司生产车间不允许使用订书机及订书针，仓库仅使用普通洋钉，与客诉的钉子都不一样。 2： 客户自提，为汽运，在满洲里转车，货物需要从a车卸下装到b车。存在受损的风险。 2024-01-16：已发报告并和marria解释，等marria和客户沟通的结果。 2024-02-05:销售回复需要商务赔付客户，待客户确认赔付数量和金额。 2024-02-29：at the moment we are waiting for an official claime from the client. until they provide it, i will not be able to give this information. we discussed this issue with vyacheslav, since he was present at the production and he said to wait from the client to avoid excess quantities.",unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-03-22 00:00:00,2024-03-28 00:00:00,pw202401005,实际剥除不良数量：1690+1050=2740pcs 影响到的8卷总数量为：4750*4+4750*4=38000pcs,unavailable,2024-01-06 00:00:00,2024-01-08 00:00:00,0.0,2024-01-10 00:00:00,3.0,68.0,unavailable,unavailable,unavailable,unavailable,False,350.2268
3,celina,0,jan,2024-01-05,agricultural,agricultural,eu-欧洲区,bangladesh,n,徐鑫 (jacob xu）,ks aseptic i,after_filling_灌装后,storage_transportation_仓储_运输,spoil pack 坏包,食品安全类,胀包,1,tba/19,024688/34080026,2021-12-24 00:00:00,125s,unavailable,unaccepted,customer's abnormal production equipment or testing equipment.,"fruit cocktail: 1. the coliform bacteria causes packages blowing 2. some packages with leakage cause blowing. suggest: 1. pasteurization: check the pasturizer running condition during production 6# batch. 2. mixing processing: check the impurity c & particle size of the products in defective packages. if it is more than standards, it should reduce the pasteurization efficiency, and bacteria could survival after pasteurization. 3. raw materials: was there any bad raw materials? or any material used in batch 6# were more dirty during transportation or storage 4. filling machine:any breakdown during splicing from tetra pak to asepto pak, and from asepto to lamipak?",filling machine,filling machine,close,unavailable,待工程师确认history中记录的关键点协助客户找到胀包的原因,"同一天灌装的乐美和asepto的都有胀包,微生物报告显示是大肠杆菌污染.推测可能是大肠杆菌污染和漏包导致,需要客户查看: 1.巴氏灭菌：检查6#批生产过程中巴氏灭菌机的运行情况。 2.混合处理：检查不良包装中产品的杂质c和颗粒尺寸。如果超过标准，则会降低巴氏灭菌的效率，并且细菌可以在巴氏灭菌后存活。 3.原材料：有没有不好的原材料？或批次6#中使用的任何材料在运输或储存过程中更脏 4:从tetra-pak到asepto-pak，以及从asepto到lamipak的拼接过程中有任何故障吗？",unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,21000,unavailable,2024-01-06 00:00:00,2024-01-08 00:00:00,0.0,2024-01-08 00:00:00,1.0,742.0,unavailable,unavailable,unavailable,unavailable,False,0.0
4,coco,0,jan,2024-01-11,sady,sady,cis-俄语区,russia,n,botova mariia,ks aseptic i,transportation_运输,transportation_运输_,transportation damge 运输破损,物流运输类,运输破损,2,"not related with filling machine, so no filling machine type",lmksrus0004752 (200s) lmksrus0004746-2 (125s),2023-12-01 00:00:00,125s,unavailable,unaccepted,improper transportation or storage by customer,"此票货物属于铁运运输磨损，走销售商务赔偿 this damage was caused during transportation, we will compensate to customer by commercial",filling machine,filling machine,close,unavailable,客户只能待生产使用完才能提供具体破损数量，根据以往数据分析，铁运磨损比例一般为10%，此笔以及后续部分破损按照10%的比例赔偿。,"lmksrus0004752 (200s, 0.13699cny/pcs) lmksrus0004746-2 (125s, 0.11352cny/pcs)",unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-02-29 00:00:00,2024-03-14 00:00:00,pw202401002 act 1到8,248300,unavailable,2024-01-11 00:00:00,2024-01-12 00:00:00,1.0,2024-02-28 00:00:00,34.0,41.0,unavailable,unavailable,unavailable,unavailable,False,1757.119
5,celina,0,jan,2024-01-11,m & s food,m & s food,gka&sea-大客户及东南亚,malaysia,n,su chong,ks auxiliary materials,transportation_运输,transportation_运输_,transportation damge 运输破损,物流运输类,7盘万丰大盘pp条运输破损,1,"not related with filling machine, so no filling machine type",r231102,2023-11-02 00:00:00,wf strip,unavailable,unaccepted,acceptable but customer not satisfy,"no abnormality found when loading and container consolidating; customer consumed the pp strip and red dye injection test failed, at that time, customer claimed  pp strip damaged.",filling machine,filling machine,close,unavailable,1月12通过dhl:4767206931补发了pp条给客户。 1月17已发邮件通知物流向客户索赔,客户签收单正常，乐美出货照片正常。装柜照片正常，拆柜时pp条倾倒，但是客户收货时无法看到内部pp条的情况，所以收货时不得知。销售通过免费样品的形式将 2024-01-12：7卷pp条补发给客户dhl:4767206931 2024-01-17：发邮件给物流请求向货代索赔运费约1700rmb，货值：840rmb，总计2540rmb，实际以账单为准 2024-01-26： 货代同意赔付1000rmb并在下月运费中抵扣,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,7盘wf大盘pp条,unavailable,2024-01-11 00:00:00,2024-01-11 00:00:00,0.0,2024-01-12 00:00:00,1.0,70.0,unavailable,unavailable,unavailable,unavailable,False,0.0
6,celina,0,jan,2024-01-12,维他奶国际,维他奶国际,eu-欧洲区,"hong kong,china",n,张秋燕(coco zhang),ks paper straw,raw_material_原材料,straw_吸管,paper straw 纸吸管,物理指标类,切刀切偏（切断吸管，切破吸管密封袋），吸管被压扁,1,"not related with filling machine, so no filling machine type",047408/049457,2023-11-24 00:00:00,paper straw,unavailable,unaccepted,customer's abnormal production equipment or testing equipment.,the factory repeat length is under standard. customer need lamipak to upgrade there straw application machine,filling machine,filling machine,close,y,从24年01-18之后到2024-04-29：客户一直未提供我司需要客户确认的6个问题； 关于塑料吸管为4.2mm，纸吸管为4.7mm的问题，乐美的纸吸管一直是这个外径，之前客户未反馈过这个问题，只有近期才反馈，说明不是外径的问题，不良和客户的贴管机的关系比较大。,"问题发生的原因是纸吸管外径比塑料吸管大，塑料吸管为4.2mm，纸吸管为4.7mm. 2024/1/18会议：lamipak to provide 1: 最近出货的coa ( spec);----close 2: customer reference forsa22 (用乐美的吸管有没有调整设备)。---没有 3: 佛山测试的时候有调高吸管的整体 位置大约2mm,使贴管时吸管位置居中;二是调整 胶箱的空压压力由3.0bar调到3.5baro----？ vitasoy to provide： 1:使用吸管的时间，发生问题的时间，发生不良的趋势是越来越严重还是 ? 2:发生这个问题的频率。 3:发生在连续处还是接头处? 4:发生问题的视频或照片; 5:客户贴管机轮载深度(测量方法见右上图片) 6:更容易发生问题的弯头处的照片。",unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,客户未提供实际数量,unavailable,2024-01-13 00:00:00,2024-01-18 00:00:00,3.0,2024-01-18 00:00:00,4.0,49.0,unavailable,unavailable,unavailable,unavailable,False,0.0
7,coco,0,jan,2024-01-17,obis,obis,cis-俄语区,kazakhstan,n,dana yessenbayeva,ks auxiliary materials,raw_material_原材料,pp_strip_pp条,pp strip length pp条米长,物理指标类,kazakhstan海关查验pp条重量比报关重46kg,1,"not related with filling machine, so no filling machine type",lmkskaz004719,2023-12-08 00:00:00,wf strip,unavailable,unaccepted,unsufficient information,"147 pp strips with a declared weight of 300 kilograms were declared, and no free samples were sent. the customer did not provide clear information, which is likely due to customs weighing errors.",filling machine,filling machine,close,unavailable,客户一直未提供具体信息，2024/3/14与销售dana确认，可结案,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-01-17 00:00:00,2024-01-17 00:00:00,0.0,2024-01-21 00:00:00,2.0,40.0,unavailable,unavailable,unavailable,unavailable,False,0.0
8,celina,0,jan,2024-01-17,fch,fch,gka&sea-大客户及东南亚,vietnam,y,王红（rainbow wang),ks aseptic i,during_filling_灌装中,runnability_运行性,abnormal dumping 异常排包,上机匹配性,2台灌装机，200s的设计共出现4包接头包未排包 生产日期：042064/50050->2023/6/1 048451/10029->2023/11/2 048451/10029->2023/11/16,1,tba22/500v,042064/50050 048451/10029 049106/90009,2023-11-16 00:00:00,200s,unavailable,unaccepted,customer's abnormal production equipment or testing equipment.,"currently lamipak has no splice thickness standard, but the lamination layer's gram is fixed value, if the gram under standard, the tickness should be in good conditioin too.  and for the whole web which be spliced by same time and same condition, but only 1 reel and 1 splice pack has such issue, it's abnormal.",filling machine,filling machine,close,y,详见history,2024-01-18： 1：乐美没有接头厚度标准，但是包材是由6层纸铝塑复合而成，如果每层的克重都达标，因为每层材料的密度一定，那么包材的厚度就是一定的，侧面说明是达标的。 2：未排出的接头同一整幅中其他接头都正常排出，3个po总共100个接头，只有4个未排出，说明未排出的接头大概率不是因为厚度问题导致的。 3：测了同款设计乐美和利乐的接头厚度，乐美稍微比利乐更厚一点。 综上所述，拒绝客诉，分析报告已发给工程师。,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,4,unavailable,2024-01-19 00:00:00,2024-01-19 00:00:00,0.0,2024-01-19 00:00:00,2.0,62.0,unavailable,unavailable,unavailable,unavailable,False,0.0
9,celina,0,jan,2024-01-18,j.p. distilleries,j.p. distilleries,isu-印度沙特阿联酋,india,n,srinivasa rao pavankumar,ks aseptic i,printing_印刷,creasing_line_压痕线,misalignment 折痕线偏移,上机匹配性,折痕线，图案，l线错位,1,"not related with filling machine, so no filling machine type",049311 049298,2023-11-25 00:00:00,100b,unavailable,claim,unavailable,unavailable,production,printing,close,unavailable,2024-3-13 客户索赔45000包包材，包材合计540usd，加上关税运费总计索赔740usd 1：根据工程师提供的已知的9个不良卷的情况无法和厂内调查到的不良卷相吻合；因客户配合度非常高，所以当下客户一直在用乐美包材，遇到不良就挑出来，待整个po用完后统计不良的数量进行赔付。 2：预估损失金额18000元,2024-01-20：给出mapping 2024-01-22：049298这个po的2个卷  发现同样的问题 2024-01-23： 1:  100b同时期生产的所有订单的排查，特别是同一天生产的打样单049371，需研发确认是否跑偏—确认未偏 2：同一天生产的empoo的订单的确认 3：客户使用了哪些卷，未使用哪些卷，每一幅挑一卷去verify是否有不良，并记录下来 4：压痕机故障记录，保养记录，维修记录，短停记录，异常情况，检测系统，生产参数曲线--bst记录被覆盖，无法追查，张力站？,unavailable,unavailable,"bst registration system issue ,no control for 100b product; on line inspection system didn’t detect the defect; operator inspection",unavailable,制定压痕站压辊清洁标准/bst增加报警声音,徐亮/邓兵,20240220/20240823,unavailable,20240421-0431,2024-03-14 00:00:00,2024-03-28 00:00:00,pw202401004,45000pcs不良,unavailable,2024-01-18 00:00:00,2024-01-19 00:00:00,1.0,2024-01-25 00:00:00,5.0,54.0,unavailable,待质量通知及oa纠正措施,unavailable,unavailable,False,740.0
